"playerId","uniqueId","game","merge"
1,BOT:974328ba15459c07a319c0de41b60a46,tf,
2,"1:1866507",tf,
3,BOT:d877db00a72bab8d43f54ab9eca262a4,tf,
4,BOT:ccc78cfee5835b47e0fa0eb6af78f2f7,tf,
5,BOT:181865cd336fef9bef6a3c0b15155d64,tf,
6,BOT:f550a9480608b2fbd53e5b4ab45aef8c,tf,
7,BOT:55c5472fe60b05f21ad9e9f249146fb7,tf,
8,BOT:18dba1ccf80bb63df59032e263684340,tf,
9,BOT:d2a8b479e64ffe48d4499f2e4012f18c,tf,
10,BOT:97007b45aebd35707a933e24f835776b,tf,
11,BOT:e99f080d3d5c338f76711b1b3e500148,tf,
12,BOT:45c2f5164b179dceeb47e46c67ee84b5,tf,
13,BOT:36129e20cd3642ce42dc6034dcb9a140,tf,
14,BOT:c8b820204f0802f44693b497267668cc,tf,
15,BOT:b7d1b1c6305050ce88e84a86c3aeeda6,tf,
16,BOT:3ce3ae185d2083ee00763cbe58e02650,tf,
17,BOT:be7ed3f91dbc4c389c1e14344bd2146c,tf,
18,BOT:5450e776822d55e3a70f5a649e560931,tf,
19,BOT:e95810ad371155858ca61c1748ce0672,tf,
20,"1:110467944",tf,
21,"0:198153577",tf,
22,BOT:477f097c63c3d0d30e1f5a8da7cc9653,tf,
23,BOT:c78e38a514d6de17c35a30aec6523b9b,tf,
24,BOT:3a6e1924ea52cee6d8c5c774b7f423a9,tf,
25,BOT:f98dc5797af4374c2d1a501afe9e2efd,tf,
26,BOT:8b9c95f78fd44ae54f0c3ab2e133e803,tf,
27,BOT:8032cd4ea346506949b196c57a8062fb,tf,
28,BOT:0abcda610d063b93b1089e1ebffd68bc,tf,
29,BOT:0d350eb63ba21b8841c9d71a7fd52d6f,tf,
30,BOT:abef52b5fb4c3b8b600897dcd6028390,tf,
31,BOT:aea84b61b9456a7a05a1cf1c52bf2173,tf,
32,BOT:df8035221a3df8ef95ce6a5907f730db,tf,
33,BOT:a71df9035d2f8fac59d23b8ac0a05911,tf,
34,BOT:807f3eec125470b6c0eabde715df3759,tf,
35,BOT:d4e2fb08137f19a37af9e7523b64cd0a,tf,
36,BOT:20704e8c4f22903777f710da8759346a,tf,
37,BOT:6ba5bb1e48b8a0c98bee46af7dd3dc55,tf,
38,BOT:4e8a34baa66cad690ed71119e34e52f2,tf,
39,BOT:2b58b4c9a8d141d429a44721b1f02f91,tf,
40,BOT:f0d84fade1f33c15fcfe6d21ef18d8fe,tf,
41,BOT:401672787205dea538784fda38b5cc4d,tf,
42,BOT:6cfd8ee8f6fc7c520714af1c7b6b1b00,tf,
43,BOT:a35baee487980c95887ba24350ec1272,tf,
44,BOT:e122f965a0b21adfeeb96ab3bfbddd8f,tf,
45,BOT:a66b78815e38b86edc27faa3fe61ec9a,tf,
46,BOT:6bbd1f0e9b0b607d7cce7908a59966a7,tf,
47,BOT:33baa78c47e0f713483fe24f8bf3ddb3,tf,
48,BOT:547d298084e039ee60334ac397d634ad,tf,
49,BOT:5132350375c4a66d2c7fa585b8077733,tf,
50,BOT:01b82e1dff398a77b92cc9e46b235a96,tf,
51,BOT:c6cd68c9dc6f99ff7124aea3a449661d,tf,
52,BOT:be60725f067b8c7e62ad01d464d52bbe,tf,
53,BOT:928adf86f0de1bda1eb7cbe6ba9c0733,tf,
54,BOT:c1cc1d19b7e19977ee06e42b25bee37d,tf,
55,BOT:dab4412714d01da08664da1e4d780a9b,tf,
56,BOT:792938d2cac62df54f11e600dd0f484c,tf,
57,BOT:2ae9d6f9716b49671362a25c34f8c215,tf,
58,BOT:45368b28883889b62e69451aad59a156,tf,
59,BOT:cfe4ba8eaf7bd2a8e4339f0d07ae863a,tf,
60,BOT:987925e95870126e0310216093bbdae4,tf,
61,BOT:1b2e1b01d9f79cffbc3401cdec82a02f,tf,
62,BOT:30dc0046e1d382d783ff0ced1c4500e8,tf,
63,BOT:a52bcebdefa3e9d97e118301e6f404e9,tf,
64,BOT:f7505d40bc0a57d73500b6a8482eecb8,tf,
65,BOT:807853f62ab9c697f1f470176332c78d,tf,
66,BOT:c95862460c901fb21f1cf06d23ae6587,tf,
67,BOT:779452acd2d448160a379e25340fdf70,tf,
68,BOT:03f9c8f22126fa65e26f8d5dc61e3681,tf,
69,BOT:4246189a2209bd85d6d1535456a7faa2,tf,
70,BOT:35be736fdccd7d310bbbfa133e540762,tf,
71,BOT:410185131987e6abfbf30b2086b90982,tf,
72,BOT:f051bc0a70e6bf440210092b33dde0a0,tf,
73,BOT:a6ceb415db184b103b2e8220f0c78ca9,tf,
74,BOT:48a1759fad4362fc2c1ad629cc7d3039,tf,
75,BOT:62bbd30263a4cac2183aadd0c9e0da44,tf,
76,BOT:1eebca9f72c54f692a79829052569519,tf,
77,BOT:b7b1c224a7830235a03a969e30a20f60,tf,
78,"1:231651995",tf,
79,"0:93554153",tf,
80,"1:239464293",tf,
81,BOT:1a76844fa29e271835a0569b7a8d37ee,tf,
82,BOT:dac16510583c941a4e842db1f4bd38b7,tf,
83,BOT:677be1fb2023a3d7acc96f1fd248c6d8,tf,
84,BOT:21195fed8fe21952750bfadcb7a4bc1a,tf,
85,BOT:924527a72c5e53bc4830cdcea172df5e,tf,
86,BOT:562fafcb72678337faac3c9144dbe31c,tf,
87,BOT:1e75d4d36cc918d3ceb2ba056884b361,tf,
88,BOT:21b3520beb7a5f3831962360773f600e,tf,
89,BOT:f0e843644b41370dece19ab3237e7625,tf,
90,BOT:d3e7462ce8f22bd317a02372a486213b,tf,
91,BOT:3fbf9bd38e86b1e89d50dff63119968a,tf,
92,BOT:99cd951c909bf8094705ddf5a60dc0ce,tf,
93,BOT:022e707a4ad777ba274f7d44a805e0cb,tf,
94,BOT:4f6bc22decc7185927145ae15e91d349,tf,
95,BOT:23962a5c2cb19b59b250eb3757d254a1,tf,
96,BOT:9516395465a7dd66829f044e010bf84e,tf,
97,BOT:095de210a1ffd7cb9f9990051a8b93b6,tf,
98,BOT:ca11de1518e4881f3577fd21b5512800,tf,
99,BOT:4176b0c61aff40f2e8f96e5e35a2537e,tf,
100,BOT:6dde45e06189b6355e1c11273a63d3a8,tf,
101,BOT:d1cc3988f204793453a51796df9a709b,tf,
102,BOT:9edbcd1e976dfb7f64296faf80d0e67e,tf,
103,BOT:58ddb59035652ae3e0496323394a0885,tf,
104,BOT:1a2243a654a6908575cda8261f152556,tf,
105,BOT:765f03d1de153d4cae6d875ef2871fdf,tf,
106,BOT:d5a79c0d7d8fd2dcb0d63c9200b48b61,tf,
107,BOT:2d82a84e36bba1146acc180be630a19a,tf,
108,BOT:c63bacd79e92c88798609408ce01472b,tf,
109,BOT:4b7e4325f901e32b993a6cde173ccb17,tf,
110,BOT:1d184c67716312590863fe8a75861dfa,tf,
111,BOT:dd01d31f7f63ea8596948f889cd62ceb,tf,
112,BOT:4fc60e66eab876d769039f7cf07f6940,tf,
113,BOT:8036af5f69920f925baf0ff17cb61f52,tf,
114,BOT:6726cea601acbba714779b0aab0c4caa,tf,
115,BOT:f81761440c3c8a9c6df50bdb0ef59062,tf,
116,BOT:9013b94216bae3b329e345ae427443a5,tf,
117,BOT:d19616842b2f79d8cabcbf0e0ee4e831,tf,
118,BOT:b9446c7cdab900839564ac54c73a6854,tf,
119,BOT:c6f9eaa7cc7a250cf3106e8ed5edece4,tf,
120,BOT:c9bbbdfc15d6e961095d36039a467c2b,tf,
121,BOT:9fc5b69a94f7d96c1b1a33efddd92e0e,tf,
122,BOT:09b2cc98676e7530514f14754f00fa60,tf,
123,BOT:9d2169b0fdcf108e2d930d102a96179a,tf,
124,BOT:6d92b256e8c87774f7502b1fb4aee7e6,tf,
125,BOT:fa66df61f25f575b083137e1d9b733c9,tf,
126,BOT:0728d83fb0abaae00049dd6014e9ac2d,tf,
127,BOT:7557602a6e0d8452d04cb72be76fa773,tf,
128,BOT:08fc4b360c854c62e7832852f53df6ae,tf,
129,BOT:002199c4e9b4f8353ffbaf9bb160d310,tf,
130,BOT:54fefe3d1c73801bd3c337c0cf0ab2b2,tf,
131,BOT:1fb7b30f652e72af4cf93fb4a0aa5ea0,tf,
132,BOT:25e22f40292374113ab721e468d1c2ee,tf,
133,BOT:3a9da4f864533c221fadf4f5c0cec8ed,tf,
134,BOT:600fb9dca6d9917a42a523d0b2b90237,tf,
135,BOT:a817ef93c4e58398c5ef2cb27679f4f4,tf,
136,BOT:248697a6f9f7c71bd878d91f5d89d2e0,tf,
137,"0:33011835",tf,
138,BOT:0b97356af9634492157f486c4e525d99,tf,
139,BOT:8d9d5c65608071d4429ea469426648c8,tf,
140,BOT:a2d6bbfe587eabae05f7a3a5155b895b,tf,
141,BOT:b54c6170e119bebc694a2cf1b39d5597,tf,
142,BOT:f12645779708db55168c882dd7c620f7,tf,
143,BOT:14128deb354b6068d827feb1809e4a24,tf,
144,BOT:754e4b99ad4ceb0c0db072cb6e88293b,tf,
145,BOT:140965645ed200cb3c2e3106efebf7cb,tf,
146,BOT:a592d87ac93ac40d70bea6d0fe891ab2,tf,
147,BOT:ae3f86a6c107f5f39fccb3fb7d46e8c0,tf,
148,BOT:3d23a84039e4ade6fc9fdcefdaab03da,tf,
149,BOT:a071aed7eb1859036f6d5acf4e6b2b62,tf,
150,BOT:9a880ab6e48f407ffdb8ed3dbb36eb84,tf,
151,BOT:e2080190821b45bff6260bd0b65184a2,tf,
152,BOT:5d007cbb751d5ec6363e81f3b3c92a6f,tf,
153,BOT:579492cf2a74678bf1745ff1f698ceb6,tf,
154,BOT:30e6e8d39f6e17fd98f1955279b2dc19,tf,
155,BOT:11d30cd09b880a37df70b7b2ae4c8edf,tf,
156,BOT:3c2b12b3757738f36711b1411bbd06f6,tf,
157,BOT:f44593fcde7eb64c1e729e4a81a4957f,tf,
158,BOT:074ec21681e4b82cb3c624dba1d549a9,tf,
159,BOT:5eccdafd5300d072340d4965e9ecf4ad,tf,
160,BOT:e0c0f959f3438f9555f36658aa4c3604,tf,
161,BOT:bb51edc92d6991901972a91df3c40913,tf,
162,BOT:01b5fd6d1f06c14af9d208cbce5d7df8,tf,
163,BOT:5be6103b6b73b32d93e0d353b72c0d0a,tf,
164,"1:30821290",tf,
165,BOT:92e767c2ba70c0284c121afd1c84acf7,tf,
166,BOT:a1e4f0919c7f4984cf4e5949853f1959,tf,
167,BOT:3e94bce17d1c4bf4b40a60938c6322e8,tf,
168,BOT:56fe9048a873af1dc62d24bd5b127009,tf,
169,BOT:e4b11d14966ad7538c08f9912e366f05,tf,
170,BOT:1e978dfbb3e5257ea785d114e52d0ad9,tf,
171,BOT:6d71f02f29086b6acff46b693a4ddef0,tf,
172,BOT:75ff2797611d7b560cc5e81a13193a17,tf,
173,BOT:a79f8a64d63edec1849cf88404398bfc,tf,
174,BOT:c8ef393a2f939b43c3687a929f829fad,tf,
175,BOT:289b45edf36df34afc54a1f05376d268,tf,
176,BOT:1e72c3a7246ae8b2d60db0f0e8fe6fa0,tf,
177,BOT:930907812c1f7a2bb1eeb1d4368c98c5,tf,
178,BOT:202f8da8fe76cc0f4363da7349068367,tf,
179,BOT:743f813daf84d0b18a5604f1d62ca454,tf,
180,BOT:300e3da124d3c55fbbec0d5a8a10f3be,tf,
181,BOT:91b1e2e6931bce5bf075e8016d2f3be1,tf,
182,BOT:49d63f0c33b158c89557fb1b36c1cc9a,tf,
183,BOT:f5c5393f4d67a9f869d94ded133d2010,tf,
184,BOT:b96dc4a3ace8b3210674949da860d3dc,tf,
185,BOT:64e8c9745437409025a9da6ea6581e26,tf,
186,BOT:091abe7ec9b3ecbb272334e9d1eaf31f,tf,
187,BOT:922e6a40e6ee4f3e09fb91881b2188ec,tf,
188,BOT:89df0c661819f6e4edb4209c4414c8c3,tf,
189,BOT:2f17d4a439534de05fcf261219dd73ad,tf,
190,"1:47499359",tf,
191,BOT:822a18bcfc89d5dc395276213aa16cc6,tf,
192,BOT:795e3e8098c42b279dac6788e9879e5e,tf,
193,BOT:31888f3ff77003b99256f339bf3195de,tf,
194,BOT:d6fdb2e971812afc10ba55bdc29ecae1,tf,
195,BOT:cc3aa49de70608ddf7c160506f083011,tf,
196,BOT:34113cd28f17157b8b4461e893585fd7,tf,
197,BOT:837fcfa32d5b1b4cbd5bb2d8d5f5f32f,tf,
198,"0:7024149",tf,
199,"0:46981860",tf,
200,"1:92264888",tf,
201,"0:40604290",tf,
202,"0:5930227",tf,
203,"0:148747184",tf,
204,"0:8684258",tf,
205,"1:90088165",tf,
206,"0:148503640",tf,
207,"1:438801593",tf,
208,"1:3995913",tf,
209,"0:65979730",tf,
210,"1:119596363",tf,
211,"0:84009476",tf,
212,"0:244738629",tf,
213,"1:53038957",tf,
214,"1:58804936",tf,
215,"0:12035760",tf,
216,"1:4208073",tf,
217,"0:40794838",tf,
218,"1:32722169",tf,
219,"0:84760032",tf,
220,"0:89954197",tf,
221,"0:192540259",tf,
222,"0:42060630",tf,
223,"1:16898949",tf,
224,"0:204280791",tf,
225,"1:40637750",tf,
226,"1:168188666",tf,
227,"1:79648157",tf,
228,"0:17203658",tf,
229,"0:17540828",tf,
230,"1:57625406",tf,
231,"1:27337500",tf,
232,"0:131807594",tf,
233,"1:92761856",tf,
234,"0:56954389",tf,
235,"0:142252590",tf,
236,"1:76029666",tf,
237,"0:463641177",tf,
238,"0:8106668",tf,
239,"0:159208921",tf,
240,"0:512398609",tf,
241,"0:89628505",tf,
242,"1:246237152",tf,
243,BOT:f483d87fa013b5ccce44a0534ee1b851,tf,
244,BOT:0137af79bfa7acff04fb686bc64a7d19,tf,
245,BOT:6dece6ad2fae758b86bf3cac22dcbd38,tf,
246,"0:419336384",tf,
247,"1:9470275",tf,
248,"0:4678191",tf,
249,"0:105077739",tf,
250,"0:141186839",tf,
251,"1:88407971",tf,
252,"1:183123023",tf,
253,"1:73820181",tf,
254,"0:143343745",tf,
255,"0:54688176",tf,
256,"0:48317083",tf,
257,"0:439851710",tf,
258,"1:52513685",tf,
259,"1:41661797",tf,
260,"0:48439036",tf,
261,"0:39536568",tf,
262,"0:509825769",tf,
263,"0:42638764",tf,
264,BOT:a0397908d940db7636990c0a3b00d13c,tf,
265,BOT:02f0850986e385fe1706a01556bc906d,tf,
266,BOT:a1a5cb4d0053bf7e6d52efc757865750,tf,
267,"0:213601148",tf,
268,"0:2473493",tf,
