"id","eventTime","serverId","map","playerId","oldName","newName"
1456,"2023-12-08 10:50:00",35,workshop/pl_calamity_mm_b5a.ugc2897811023,77340,demoscrumpy tf2 (real),The Krampussy
1452,"2023-10-19 11:55:54",11,workshop/pl_calamity_mm_b5a.ugc2897811023,71017,Scary-Ass Heavy,PizzaPasta
1453,"2023-10-20 20:06:07",32,ctf_2fort,86302,Box that screams for help,The Tomfooligan
1454,"2023-10-21 12:35:41",11,workshop/pl_rottenburg_robo_rc7.ugc2627296448,86398,"Shrek, Lord of Death",Scared Shrekless Gaming
1455,"2023-11-11 09:55:27",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,76317,FAT CROCODILE,DRUG LOVER
