"serverId","parameter","value","serverConfigId"
6,AutoTeamBalance,"1",2659
6,AutoBanRetry,"0",2658
6,Admins,"",2657
32,BroadCastEventsCommand,hlx_sm_psay,2727
32,BroadCastEvents,"0",2726
32,BonusRoundTime,"0",2725
32,BonusRoundIgnore,"0",2724
32,AutoTeamBalance,"1",2723
32,AutoBanRetry,"0",2722
32,Admins,"",2721
35,SwitchAdmins,"1",3421
35,TKPenalty,"0",3422
35,TrackServerLoad,"1",3423
35,UpdateHostname,"1",3424
35,PlayerEventsCommandHint,hlx_sm_hint,3416
35,PlayerEventsCommandOSD,hlx_sm_msay,3417
35,ShowStats,"0",3418
35,SkillMode,"0",3419
4,BroadCastEventsCommandAnnounce,hlx_sm_csay,2856
4,BroadCastEventsCommand,hlx_sm_psay,2855
4,BroadCastEvents,"0",2854
4,BonusRoundTime,"0",2853
4,BonusRoundIgnore,"0",2852
4,AutoTeamBalance,"1",2851
4,AutoBanRetry,"0",2850
4,Admins,"",2849
11,BroadCastEventsCommand,hlx_sm_psay,2887
11,BroadCastEvents,"0",2886
11,BonusRoundTime,"0",2885
11,BonusRoundIgnore,"0",2884
11,AutoTeamBalance,"1",2883
11,AutoBanRetry,"0",2882
11,Admins,"",2881
6,SwitchAdmins,"1",2685
6,TKPenalty,"0",2686
6,TrackServerLoad,"1",2687
6,UpdateHostname,"1",2688
32,SwitchAdmins,"1",2749
32,TKPenalty,"0",2750
32,TrackServerLoad,"1",2751
32,UpdateHostname,"1",2752
4,TKPenalty,"0",2878
4,TrackServerLoad,"1",2879
4,UpdateHostname,"1",2880
11,SwitchAdmins,"1",2909
11,TKPenalty,"0",2910
11,TrackServerLoad,"1",2911
11,UpdateHostname,"1",2912
35,AutoBanRetry,"0",3394
35,Admins,"",3393
