"playerId","eventTime","connection_time","kills","deaths","suicides","skill","shots","hits","game","headshots","teamkills","kill_streak","death_streak","skill_change"
11838,"2023-11-20",1516,0,0,0,1267,0,0,tf,0,0,0,0,0
86581,"2023-11-20",3872,0,0,0,1000,0,0,tf,0,0,0,0,0
86676,"2023-11-20",4413,0,0,0,1000,0,0,tf,0,0,0,0,0
81933,"2023-11-20",154,0,0,0,1000,0,0,tf,0,0,0,0,0
86582,"2023-11-20",3662,0,0,0,1000,0,0,tf,0,0,0,0,0
86580,"2023-11-20",4608,0,0,0,1000,0,0,tf,0,0,0,0,0
76070,"2023-11-20",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76059,"2023-11-20",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76069,"2023-11-20",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76069,"2023-10-11",0,0,0,0,1000,0,0,tf,0,0,0,0,0
86263,"2023-10-11",9,0,0,0,1000,0,0,tf,0,0,0,0,0
85504,"2023-10-11",899,0,0,0,1000,0,0,tf,0,0,0,0,0
86240,"2023-10-11",675,0,0,0,1000,0,0,tf,0,0,0,0,0
83423,"2023-10-11",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76070,"2023-10-11",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76059,"2023-10-11",0,0,0,0,1000,0,0,tf,0,0,0,0,0
86264,"2023-10-11",119,0,0,0,1000,0,0,tf,0,0,0,0,0
86250,"2023-10-11",59,0,0,0,1000,0,0,tf,0,0,0,0,0
86265,"2023-10-11",122,0,0,0,1000,0,0,tf,0,0,0,0,0
25413,"2023-10-13",1888,0,0,0,47299,0,0,tf,0,0,0,0,0
31002,"2023-10-13",2938,0,0,0,18772,0,0,tf,0,0,0,0,0
70609,"2023-10-13",2178,0,0,0,15781,0,0,tf,0,0,0,0,0
56857,"2023-10-13",3039,0,0,0,35509,0,0,tf,0,0,0,0,0
27950,"2023-10-13",3582,0,0,0,25099,0,0,tf,0,0,0,0,0
80063,"2023-10-13",3270,0,0,0,5472,0,0,tf,0,0,0,0,0
86232,"2023-10-13",8,0,0,0,1000,0,0,tf,0,0,0,0,0
81665,"2023-10-13",3583,0,0,0,15331,0,0,tf,0,0,0,0,0
86292,"2023-10-13",28,0,0,0,1000,0,0,tf,0,0,0,0,0
86291,"2023-10-13",118,0,0,0,1000,0,0,tf,0,0,0,0,0
83423,"2023-10-13",0,0,0,0,1000,0,0,tf,0,0,0,0,0
85553,"2023-10-13",3858,0,0,0,1000,0,0,tf,0,0,0,0,0
85552,"2023-10-13",3938,0,0,0,1000,0,0,tf,0,0,0,0,0
86290,"2023-10-13",1574,0,0,0,1000,0,0,tf,0,0,0,0,0
76069,"2023-10-13",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76070,"2023-10-13",0,0,0,0,1000,0,0,tf,0,0,0,0,0
83422,"2023-10-13",0,0,0,0,1000,0,0,tf,0,0,0,0,0
2,"2023-10-14",4475,0,0,0,86965,0,0,tf,0,0,0,0,0
76069,"2023-10-14",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76059,"2023-10-14",0,0,0,0,1000,0,0,tf,0,0,0,0,0
76070,"2023-10-14",0,0,0,0,1000,0,0,tf,0,0,0,0,0
86295,"2023-10-14",59,0,0,0,1000,0,0,tf,0,0,0,0,0
85036,"2023-10-14",1923,0,0,0,1000,0,0,tf,0,0,0,0,0
86296,"2023-10-14",1551,0,0,0,1000,0,0,tf,0,0,0,0,0
84820,"2023-10-14",1036,0,0,0,1000,0,0,tf,0,0,0,0,0
86297,"2023-10-14",4745,0,0,0,1000,0,0,tf,0,0,0,0,0
86298,"2023-10-14",3694,0,0,0,1000,0,0,tf,0,0,0,0,0
86102,"2023-10-14",90,0,0,0,1000,0,0,tf,0,0,0,0,0
86299,"2023-10-14",965,0,0,0,1000,0,0,tf,0,0,0,0,0
86300,"2023-10-14",739,0,0,0,1000,0,0,tf,0,0,0,0,0
51208,"2023-10-14",796,0,0,0,1000,0,0,tf,0,0,0,0,0
86301,"2023-10-14",776,0,0,0,1000,0,0,tf,0,0,0,0,0
86302,"2023-10-14",774,0,0,0,1000,0,0,tf,0,0,0,0,0
86303,"2023-10-14",734,0,0,0,1000,0,0,tf,0,0,0,0,0
83423,"2023-10-14",0,0,0,0,1000,0,0,tf,0,0,0,0,0
86304,"2023-10-14",147,0,0,0,1000,0,0,tf,0,0,0,0,0
86305,"2023-10-14",51,0,0,0,1000,0,0,tf,0,0,0,0,0
85552,"2023-10-14",530,0,0,0,1000,0,0,tf,0,0,0,0,0
85553,"2023-10-14",312,0,0,0,1000,0,0,tf,0,0,0,0,0
85134,"2023-10-14",58,0,0,0,1000,0,0,tf,0,0,0,0,0
86306,"2023-10-14",112,0,0,0,1000,0,0,tf,0,0,0,0,0
86252,"2023-10-14",71,0,0,0,1000,0,0,tf,0,0,0,0,0
20939,"2023-10-14",3,0,0,0,1002,0,0,tf,0,0,0,0,0
86307,"2023-10-14",3,0,0,0,1000,0,0,tf,0,0,0,0,0
86308,"2023-10-14",2273,0,0,0,1000,0,0,tf,0,0,0,0,0
86309,"2023-10-14",2288,0,0,0,1000,0,0,tf,0,0,0,0,0
86310,"2023-10-14",305,0,0,0,1000,0,0,tf,0,0,0,0,0
86311,"2023-10-14",11,0,0,0,1000,0,0,tf,0,0,0,0,0
86312,"2023-10-14",28,0,0,0,1000,0,0,tf,0,0,0,0,0
86087,"2023-10-14",6389,0,0,0,1000,0,0,tf,0,0,0,0,0
86109,"2023-10-14",6418,0,0,0,1000,0,0,tf,0,0,0,0,0
82036,"2023-10-14",126,0,0,0,1000,0,0,tf,0,0,0,0,0
86313,"2023-10-14",813,0,0,0,1000,0,0,tf,0,0,0,0,0
86314,"2023-10-14",1230,0,0,0,1000,0,0,tf,0,0,0,0,0
86315,"2023-10-14",1212,0,0,0,1000,0,0,tf,0,0,0,0,0
86316,"2023-10-14",207,0,0,0,1000,0,0,tf,0,0,0,0,0
