"playerId","ribbonId","game"
2,1924,tf
9434,1914,tf
2,1914,tf
9434,1909,tf
223,1909,tf
49173,1900,tf
223,1900,tf
3288,1893,tf
2,1893,tf
9434,1892,tf
3288,1892,tf
2,1892,tf
80063,1891,tf
78412,1891,tf
71017,1891,tf
70988,1891,tf
70657,1891,tf
56857,1891,tf
52846,1891,tf
27950,1891,tf
10345,1891,tf
9434,1891,tf
3288,1891,tf
225,1891,tf
201,1891,tf
2,1891,tf
223,1890,tf
2,1885,tf
9434,1884,tf
3288,1884,tf
2,1884,tf
71017,1883,tf
70988,1883,tf
9434,1883,tf
3288,1883,tf
2,1883,tf
78482,1882,tf
78412,1882,tf
71017,1882,tf
70988,1882,tf
70657,1882,tf
67668,1882,tf
56857,1882,tf
49173,1882,tf
27950,1882,tf
10345,1882,tf
9434,1882,tf
3288,1882,tf
562,1882,tf
256,1882,tf
225,1882,tf
223,1882,tf
201,1882,tf
2,1882,tf
78482,1881,tf
78412,1881,tf
72861,1881,tf
71017,1881,tf
70988,1881,tf
70739,1881,tf
70657,1881,tf
67668,1881,tf
56857,1881,tf
44766,1881,tf
27950,1881,tf
25413,1881,tf
11529,1881,tf
10345,1881,tf
9844,1881,tf
9434,1881,tf
3288,1881,tf
562,1881,tf
256,1881,tf
223,1881,tf
201,1881,tf
198,1881,tf
2,1881,tf
56857,1880,tf
9434,1880,tf
3288,1880,tf
256,1880,tf
2,1880,tf
9434,1879,tf
256,1879,tf
2,1879,tf
52846,1873,tf
10345,1873,tf
9844,1873,tf
3288,1873,tf
256,1873,tf
223,1873,tf
2,1873,tf
2,1874,tf
3288,1872,tf
3288,1871,tf
223,1871,tf
49173,1870,tf
9434,1870,tf
3288,1870,tf
223,1870,tf
2,1870,tf
256,1869,tf
2,1869,tf
71017,1868,tf
70657,1868,tf
3288,1868,tf
256,1868,tf
2,1868,tf
78482,1867,tf
71017,1867,tf
70988,1867,tf
70657,1867,tf
56857,1867,tf
44766,1867,tf
27950,1867,tf
25413,1867,tf
10345,1867,tf
9434,1867,tf
3288,1867,tf
562,1867,tf
256,1867,tf
223,1867,tf
201,1867,tf
2,1867,tf
49173,1847,tf
10345,1847,tf
3288,1847,tf
223,1847,tf
2,1847,tf
78482,1846,tf
78412,1846,tf
74104,1846,tf
70739,1846,tf
70657,1846,tf
67668,1846,tf
49173,1846,tf
25413,1846,tf
12279,1846,tf
10345,1846,tf
9434,1846,tf
3288,1846,tf
562,1846,tf
223,1846,tf
201,1846,tf
2,1846,tf
49173,1848,tf
3288,1848,tf
223,1848,tf
2,1848,tf
80063,1849,tf
78482,1849,tf
78412,1849,tf
71017,1849,tf
70988,1849,tf
70657,1849,tf
67668,1849,tf
59359,1849,tf
56857,1849,tf
44766,1849,tf
27950,1849,tf
25413,1849,tf
11529,1849,tf
9434,1849,tf
3288,1849,tf
562,1849,tf
256,1849,tf
223,1849,tf
201,1849,tf
2,1849,tf
78412,1850,tf
59359,1850,tf
9434,1850,tf
223,1850,tf
2,1850,tf
223,1851,tf
78482,1852,tf
78412,1852,tf
71697,1852,tf
70657,1852,tf
67668,1852,tf
56857,1852,tf
44766,1852,tf
11529,1852,tf
10345,1852,tf
9434,1852,tf
3288,1852,tf
562,1852,tf
223,1852,tf
2,1852,tf
78412,1853,tf
10345,1853,tf
223,1853,tf
2,1853,tf
10345,1854,tf
2,1854,tf
52846,1855,tf
49173,1855,tf
44766,1855,tf
3288,1855,tf
474,1855,tf
225,1855,tf
223,1855,tf
201,1855,tf
198,1855,tf
2,1855,tf
49173,1856,tf
474,1856,tf
225,1856,tf
201,1856,tf
2,1856,tf
225,1857,tf
74104,1858,tf
71017,1858,tf
70739,1858,tf
56857,1858,tf
9434,1858,tf
225,1858,tf
223,1858,tf
2,1858,tf
70988,1861,tf
70739,1861,tf
9434,1861,tf
474,1861,tf
223,1861,tf
2,1861,tf
78482,1864,tf
71017,1864,tf
70988,1864,tf
70739,1864,tf
70657,1864,tf
56857,1864,tf
27950,1864,tf
12279,1864,tf
9434,1864,tf
3288,1864,tf
256,1864,tf
223,1864,tf
3288,1865,tf
223,1865,tf
44766,1806,tf
3288,1806,tf
74104,1805,tf
56857,1805,tf
44766,1805,tf
9434,1805,tf
3288,1805,tf
223,1805,tf
2,1805,tf
78482,1804,tf
74104,1804,tf
73333,1804,tf
71017,1804,tf
70988,1804,tf
70739,1804,tf
70657,1804,tf
